,Judge,Project 0,Grade 0,Judge grade 0,Estimated 0,Project 1,Grade 1,Judge grade 1,Estimated 1,Project 2,Grade 2,Judge grade 2,Estimated 2,Project 3,Grade 3,Judge grade 3,Estimated 3,Project 4,Grade 4,Judge grade 4,Estimated 4,Project 5,Grade 5,Judge grade 5,Estimated 5
0,J6,203077888,92.0,81.0,92.55118502686463,203833041,93.33333333333333,92.0,95.91412850488496,205478068,88.33333333333333,81.0,91.8805445708243,208981662,93.0,85.0,95.39025900579675,,,,,,,,
1,J1,207052663,96.33333333333333,95.0,96.01785611166746,209240050,95.66666666666667,92.0,95.89796574404164,313334708,85.66666666666667,82.0,86.93267653619944,313535833,98.33333333333333,95.0,97.96544013896998,315544924,93.33333333333333,89.0,93.10221631482544,318316437,89.0,84.0,90.874828681489
2,J5,205478068,88.33333333333333,91.0,91.8805445708243,208433912,93.0,87.0,91.76097465164403,318316437,89.0,88.0,90.874828681489,319115127 & 315203851,91.33333333333333,91.0,92.08662068165316,,,,,,,,
3,J15,205776925 & 205711898,96.33333333333333,99.0,96.0977236228726,313334708,85.66666666666667,85.0,86.93267653619944,318546348,91.0,87.0,90.66715240102718,318867769,99.33333333333333,98.0,99.07494098808169,,,,,,,,
4,J12,203833041,93.33333333333333,93.0,95.91412850488496,205478068,88.33333333333333,93.0,91.8805445708243,208981662,93.0,96.0,95.39025900579675,316362664,88.33333333333333,88.0,88.03978242293515,319115127 & 315203851,91.33333333333333,90.0,92.08662068165316,,,,
5,J10,207052713,97.33333333333333,95.0,96.43465368947723,208614834 & 208731646,94.33333333333333,92.0,93.41563671114594,316362664,88.33333333333333,89.0,88.03978242293515,316605310,97.66666666666667,96.0,96.74403460121835,318546348,91.0,93.0,90.66715240102718,318867769,99.33333333333333,100.0,99.07494098808169
6,J14,205776925 & 205711898,96.33333333333333,94.0,96.0977236228726,206078552,93.66666666666667,92.0,93.15788660764824,209240050,95.66666666666667,95.0,95.89796574404164,318193802,89.0,90.0,88.16964638911651,318316437,89.0,95.0,90.874828681489,,,,
7,J4,203833041,93.33333333333333,95.0,95.91412850488496,206078552,93.66666666666667,95.0,93.15788660764824,207052713,97.33333333333333,97.0,96.43465368947723,316605310,97.66666666666667,97.0,96.74403460121835,319115127 & 315203851,91.33333333333333,93.0,92.08662068165316,,,,
8,J7,206078552,93.66666666666667,94.0,93.15788660764824,208433912,93.0,92.0,91.76097465164403,208614834 & 208731646,94.33333333333333,94.0,93.41563671114594,208907907,94.66666666666667,95.0,92.1576770725653,318193802,89.0,88.0,88.16964638911651,,,,
9,J9,205776925 & 205711898,96.33333333333333,96.0,96.0977236228726,207787748,97.66666666666667,95.0,95.20826580922713,313246050,94.66666666666667,94.0,92.24281998155462,313334708,85.66666666666667,90.0,86.93267653619944,318867769,99.33333333333333,100.0,99.07494098808169,,,,
10,J3,203077888,92.0,95.0,92.55118502686463,207787748,97.66666666666667,98.0,95.20826580922713,208981662,93.0,98.0,95.39025900579675,313246050,94.66666666666667,90.0,92.24281998155462,,,,,,,,
11,J2,208614834 & 208731646,94.33333333333333,97.0,93.41563671114594,208907907,94.66666666666667,96.0,92.1576770725653,316362664,88.33333333333333,88.0,88.03978242293515,318193802,89.0,89.0,88.16964638911651,318546348,91.0,93.0,90.66715240102718,,,,
12,J11,207052663,96.33333333333333,94.0,96.01785611166746,207052713,97.33333333333333,100.0,96.43465368947723,313535833,98.33333333333333,100.0,97.96544013896998,315544924,93.33333333333333,97.0,93.10221631482544,316605310,97.66666666666667,100.0,96.74403460121835,,,,
13,J8,207052663,96.33333333333333,100.0,96.01785611166746,209240050,95.66666666666667,100.0,95.89796574404164,313535833,98.33333333333333,100.0,97.96544013896998,315544924,93.33333333333333,94.0,93.10221631482544,,,,,,,,
14,J13,203077888,92.0,100.0,92.55118502686463,207787748,97.66666666666667,100.0,95.20826580922713,208433912,93.0,100.0,91.76097465164403,208907907,94.66666666666667,93.0,92.1576770725653,313246050,94.66666666666667,100.0,92.24281998155462,,,,
